country,LE,PCGDP,name
1,58.52,627,Somalia
2,61.55,671,Burundi
3,51.87,754,Central African Republic
4,62.37,808,"Congo, Dem. Rep."
5,62.37,921,Niger
6,63.21,1154,Malawi
7,64.41,1176,Liberia
8,58.35,1177,Mozambique
9,62.67,1248,Eritrea
10,60.42,1404,Sierra Leone
11,63.51,1418,Madagascar
12,65.77,1465,Gambia
13,64.37,1530,Togo
14,59.99,1577,Guinea-Bissau
15,64.95,1653,Haiti
16,61.68,1696,Burkina Faso
17,72,1718,North Korea
18,68.39,1724,Ethiopia
19,60.03,1754,Chad
20,63.38,1758,Afghanistan
21,65.71,1768,Uganda
22,59.25,1848,South Sudan
23,68.46,1893,Rwanda
24,61.95,2019,Mali
25,62.41,2025,Kiribati
26,64.63,2069,Benin
27,68.53,2126,Solomon Islands
28,60.72,2213,Guinea
29,68.06,2404,Yemen
30,68.63,2501,Comoros
31,61.35,2568,Zimbabwe
32,70.92,2606,Nepal
33,66.72,2809,Tanzania
34,64.72,2827,Vanuatu
35,54.66,2846,Lesotho
36,70.32,2924,Tajikistan
37,65.86,2961,Kenya
38,66.87,3011,Sao Tome and Principe
39,69.79,3100,Syria
40,67.21,3185,"Micronesia, Fed. Sts."
41,68.05,3232,Senegal
42,62.98,3313,Cameroon
43,72.71,3394,Kyrgyz Republic
44,67.35,3400,Djibouti
45,64.54,3532,Marshall Islands
46,62.48,3565,Cote d'Ivoire
47,73.12,3634,Bangladesh
48,69.88,3654,Cambodia
49,70.53,3696,Mauritania
50,63.2,3718,Zambia
51,58.5,3881,Papua New Guinea
52,65.5,4051,Ghana
53,70.3,4436,Sudan
54,73.98,4469,Honduras
55,76.85,4652,Palestine
56,66.85,4771,Pakistan
57,62.65,5103,"Congo, Rep."
58,78.8,5169,Nicaragua
59,64.35,5351,Nigeria
60,68.5,5610,Myanmar
61,71.77,5746,Tonga
62,70.35,6040,Uzbekistan
63,64.19,6045,Angola
64,72.88,6070,Samoa
65,74.53,6233,Vietnam
66,72.9,6234,Moldova
67,67.58,6308,Lao
68,75.77,6387,Cape Verde
69,68.97,6516,India
70,70.81,6741,Timor-Leste
71,72.75,6799,Bolivia
72,74.01,7247,El Salvador
73,69.21,7399,Guyana
74,72.63,7423,Guatemala
75,73.97,7509,Morocco
76,69.73,7581,Philippines
77,74.16,7726,Belize
78,78.42,7889,Cuba
79,70.55,7907,Ukraine
80,74.66,8154,Jamaica
81,79.33,8299,Jordan
82,75.61,8745,Armenia
83,74.05,9247,Bhutan
84,68.07,9379,Fiji
85,72.77,9438,Dominica
86,59.89,9568,Swaziland
87,72.83,9702,Georgia
88,66.49,10093,Namibia
89,76.73,10454,Ecuador
90,70.64,10673,Egypt
91,72.29,10704,St. Vincent and the Grenadines
92,78.33,10950,Tunisia
93,71.48,11161,Indonesia
94,68.94,11623,Mongolia
95,77.97,11647,Lebanon
96,77.47,11706,Sri Lanka
97,76.12,11790,Paraguay
98,78.23,11803,Albania
99,66.31,12233,South Africa
100,76.72,12275,Bosnia and Herzegovina
101,75.54,12334,St. Lucia
102,80.31,12518,Peru
103,76.55,13140,"Macedonia, FYR"
104,80.11,13186,Colombia
105,81.45,13333,Maldives
106,74.11,13397,Grenada
107,72.04,13636,Suriname
108,77.74,13876,Algeria
109,75.51,14236,Brazil
110,75.29,14506,Venezuela
111,73.09,14953,Dominican Republic
112,77.07,15254,China
113,75.71,15289,Serbia
114,79.47,15430,Costa Rica
115,76.73,15830,Iraq
116,70.76,15929,Azerbaijan
117,68.39,16145,Gabon
118,69.07,16165,Botswana
119,78.11,16286,Thailand
120,70.1,16390,Turkmenistan
121,76.49,16477,Montenegro
122,77.13,16839,Barbados
123,74.03,17193,Belarus
124,72.96,17321,Libya
125,75.52,17949,Mexico
126,74.88,18606,Bulgaria
127,76.66,18945,Argentina
128,77.35,19098,Iran
129,74.77,20319,Mauritius
130,77.05,20658,Uruguay
131,79.29,22244,Panama
132,79.7,22297,Chile
133,65.52,22299,Equatorial Guinea
134,78.53,22835,Croatia
135,77.02,22856,Antigua and Barbuda
136,75.18,23442,Romania
137,71.98,24079,Kazakhstan
138,80.99,24602,Greece
139,72.08,24791,Russia
140,78.94,25024,Turkey
141,75.17,25030,Latvia
142,73.62,26416,Seychelles
143,76.81,26861,Hungary
144,74.72,27272,Malaysia
145,77.99,27346,Poland
146,81.44,28035,Portugal
147,74.24,28567,Trinidad and Tobago
148,73.73,28705,Bahamas
149,75.02,29604,Lithuania
150,78.09,29916,Estonia
151,77.41,30133,Slovak Republic
152,81.1,31351,Slovenia
153,79.17,32571,Czech Republic
154,81.72,33048,Cyprus
155,82.97,33220,Israel
156,83.06,34269,Spain
157,83.17,35373,Italy
158,82.6,35938,South Korea
159,81.64,36046,New Zealand
160,80.99,36989,Malta
161,77.1,37329,Oman
162,84.19,38907,Japan
163,82.84,38956,France
164,80.97,39862,United Kingdom
165,81.42,41018,Finland
166,79.95,42194,Taiwan
167,81.38,42781,Belgium
168,79.49,43320,Bahrain
169,81.96,43852,Canada
170,82.39,44888,Australia
171,80.63,45462,Germany
172,81.77,45493,Austria
173,82.5,46681,Sweden
174,80.76,47270,Denmark
175,82.75,47840,Iceland
176,81.52,48789,Netherlands
177,76.86,48804,Saudi Arabia
178,82.7,49768,Andorra
179,78.59,54471,United States
180,84.09,56088,"Hong Kong, China"
181,83.96,57998,Switzerland
182,82.34,64965,Norway
183,83.12,66009,Kuwait
184,81.85,66604,Ireland
185,73.32,66676,United Arab Emirates
186,75.35,72524,Brunei
187,84.79,87760,Singapore
188,81.66,93102,Luxembourg
189,80.21,113262,Qatar
,,,
